Optimized EHL Solver Init
Step 142/329 | Load err=4.5954e-01 | Res=1.7631e-01 | Iters=0 | Step time=0.096s | Total time=33.5s
Step 143/329 | Load err=4.5363e-01 | Res=1.6738e-01 | Iters=0 | Step time=0.096s | Total time=33.6s
Step 144/329 | Load err=4.4844e-01 | Res=1.5953e-01 | Iters=0 | Step time=0.096s | Total time=33.7s
Step 145/329 | Load err=4.4398e-01 | Res=1.5276e-01 | Iters=0 | Step time=0.096s | Total time=33.8s
Step 146/329 | Load err=4.4024e-01 | Res=1.4708e-01 | Iters=0 | Step time=0.096s | Total time=33.9s
Step 147/329 | Load err=4.3721e-01 | Res=1.4249e-01 | Iters=0 | Step time=0.096s | Total time=34.0s
Step 148/329 | Load err=4.3489e-01 | Res=1.3897e-01 | Iters=0 | Step time=0.096s | Total time=34.1s
Step 149/329 | Load err=4.3326e-01 | Res=1.3651e-01 | Iters=0 | Step time=0.096s | Total time=34.2s
Step 150/329 | Load err=4.3233e-01 | Res=1.3510e-01 | Iters=0 | Step time=0.096s | Total time=34.3s
Step 151/329 | Load err=4.3207e-01 | Res=1.3470e-01 | Iters=0 | Step time=0.096s | Total time=34.4s
Step 152/329 | Load err=4.3246e-01 | Res=1.3529e-01 | Iters=0 | Step time=0.096s | Total time=34.5s
Step 153/329 | Load err=4.3349e-01 | Res=1.3684e-01 | Iters=0 | Step time=0.096s | Total time=34.6s
Step 154/329 | Load err=4.3514e-01 | Res=1.3933e-01 | Iters=0 | Step time=0.096s | Total time=34.7s
Step 155/329 | Load err=4.3737e-01 | Res=1.4270e-01 | Iters=0 | Step time=0.096s | Total time=34.8s
Step 156/329 | Load err=4.4017e-01 | Res=1.4693e-01 | Iters=0 | Step time=0.096s | Total time=34.9s
Step 157/329 | Load err=4.4350e-01 | Res=1.5196e-01 | Iters=0 | Step time=0.096s | Total time=35.0s
Step 158/329 | Load err=4.4733e-01 | Res=1.5776e-01 | Iters=0 | Step time=0.096s | Total time=35.1s
Step 159/329 | Load err=4.5162e-01 | Res=1.6427e-01 | Iters=0 | Step time=0.096s | Total time=35.2s
